Sold Item:Minor Mana Potion (ID:592) && [Quality] == Normal && [Flag] == identified && , StashItem:false, ItemToID:false  (04:54:40)
Sold Item:Minor Mana Potion (ID:592) && [Quality] == Normal && [Flag] == identified && , StashItem:false, ItemToID:false  (04:54:41)
Sold Item:Key (ID:543) && [Quality] == Normal && [Flag] == identified && [Quantity] == 1 && [Quantity] == 1, StashItem:false, ItemToID:false  (04:54:44)
Sold Item:Minor Healing Potion (ID:587) && [Quality] == Normal && [Flag] == identified && , StashItem:false, ItemToID:false  (04:54:44)
Sold Item:Minor Healing Potion (ID:587) && [Quality] == Normal && [Flag] == identified && , StashItem:false, ItemToID:false  (04:54:44)
Sold Item:Brandistock (ID:54) && [Type] == spear && [Quality] == Magic && [Flag] == identified && [Flag] == ethereal && [SecondMinDamage] == 10 && [SecMaxDamage] == 25 && [AttackRate] == 20 && [Durability] == 29 && [MaxDurability] == 29 && [SecondMinDamage] == 19 && [SecMaxDamage] == 32 && [AttackRate] == 20 && [Durability] == 29 && [MaxDurability] == 29, StashItem:false, ItemToID:false  (05:08:38)
Sold Item:Quhab (ID:182) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [MinDamage] == 11 && [MaxDamage] == 24 && [Durability] == 90 && [MaxDurability] == 96 && [MinDamage] == 11 && [MaxDamage] == 24 && [Durability] == 90 && [MaxDurability] == 96 && [ItemChargedSkill] == 6424, StashItem:false, ItemToID:false  (05:08:38)
Sold Item:Scale Mail (ID:318) && [Type] == armor && [Quality] == Magic && [Flag] == identified && [Defense] == 58 && [VelocityPercent] == -10 && [Durability] == 33 && [MaxDurability] == 36 && [Defense] == 58 && [FireResist] == 22 && [VelocityPercent] == -10 && [Durability] == 33 && [MaxDurability] == 36, StashItem:false, ItemToID:false  (06:10:48)
Sold Item:Studded Leather (ID:316) && [Type] == armor && [Quality] == Magic && [Flag] == identified && [Flag] == socketed && [Defense] == 32 && [Durability] == 42 && [MaxDurability] == 64 && [Sockets] == 2 && [Defense] == 32 && [NormalDamageReduction] == 1 && [Durability] == 42 && [MaxDurability] == 64 && [Sockets] == 2, StashItem:false, ItemToID:false  (06:10:48)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [RequirementPercent] == -15, StashItem:false, ItemToID:false  (06:10:48)
Sold Item:Throwing Axe (ID:44) && [Type] == throwingaxe && [Quality] == Magic && [Flag] == identified && [MinDamage] == 4 && [MaxDamage] == 7 && [AttackRate] == -10 && [Quantity] == 113 && [Durability] == 10 && [MaxDurability] == 12 && [ThrowMinDamage] == 8 && [ThrowMaxDamage] == 12 && [MinDamage] == 4 && [MaxDamage] == 7 && [PoisonMinDamage] == 15 && [PoisonMaxDamage] == 15 && [PoisonLength] == 4 && [AttackRate] == -10 && [Quantity] == 113 && [Durability] == 10 && [MaxDurability] == 12 && [ThrowMinDamage] == 8 && [ThrowMaxDamage] == 12 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (06:43:51)
Sold Item:Flying Knife (ID:239) && [Type] == thrownweapon && [Quality] == Rare && [Flag] == identified && [MinDamage] == 23 && [MaxDamage] == 54 && [Quantity] == 255 && [Durability] == 3 && [MaxDurability] == 6 && [ThrowMinDamage] == 23 && [ThrowMaxDamage] == 54 && [AttackRating] == 52 && [MinDamage] == 63 && [MaxDamage] == 147 && [Quantity] == 255 && [Durability] == 3 && [MaxDurability] == 6 && [ThrowMinDamage] == 63 && [ThrowMaxDamage] == 147 && [SkillOnHit] == 10, StashItem:false, ItemToID:false  (06:43:53)
Sold Item:Ogre Axe (ID:253) && [Type] == polearm && [Quality] == Rare && [Flag] == identified && [SecondMinDamage] == 28 && [SecMaxDamage] == 145 && [Durability] == 31 && [MaxDurability] == 50 && [SecondMinDamage] == 48 && [SecMaxDamage] == 229 && [ColdMinDamage] == 1 && [ColdMaxDamage] == 3 && [ColdLength] == 3 && [Durability] == 31 && [MaxDurability] == 50 && [ManaAfterKill] == 1, StashItem:false, ItemToID:false  (06:43:57)
Sold Item:Hatchet (ID:93) && [Type] == axe && [Quality] == Unique && [Flag] == identified && [MinDamage] == 10 && [MaxDamage] == 21 && [Durability] == 15 && [MaxDurability] == 28 && [MinDamage] == 28 && [MaxDamage] == 60 && [ColdResist] == 15 && [MaxColdResist] == 15 && [ColdMinDamage] == 40 && [ColdMaxDamage] == 40 && [ColdLength] == 2 && [Durability] == 15 && [MaxDurability] == 28 && [IncreasedAttackSpeed] == 30 && [SkillOnHit] == 10 && [SkillOnGetHit] == 10, StashItem:false, ItemToID:false  (06:43:58)
Sold Item:War Hat (ID:352) && [Type] == helm && [Quality] == Magic && [Flag] == identified && [Defense] == 47 && [Durability] == 16 && [MaxDurability] == 24 && [Energy] == 2 && [Defense] == 47 && [Durability] == 16 && [MaxDurability] == 24, StashItem:false, ItemToID:false  (06:44:00)
Sold Item:Long Battle Bow (ID:73) && [Type] == bow && [Quality] == Normal && [Flag] == identified && [SecondMinDamage] == 3 && [SecMaxDamage] == 18 && [AttackRate] == -10 && [Durability] == 42 && [MaxDurability] == 44 && [SecondMinDamage] == 3 && [SecMaxDamage] == 18 && [AttackRate] == -10 && [Durability] == 42 && [MaxDurability] == 44, StashItem:false, ItemToID:false  (06:52:53)
Sold Item:Military Pick (ID:3) && [Type] == axe && [Quality] == Rare && [Flag] == identified && [MinDamage] == 7 && [MaxDamage] == 11 && [AttackRate] == 10 && [Durability] == 20 && [MaxDurability] == 26 && [AttackRating] == 89 && [MinDamage] == 28 && [MaxDamage] == 44 && [ColdMinDamage] == 9 && [ColdMaxDamage] == 30 && [ColdLength] == 1 && [PoisonMinDamage] == 48 && [PoisonMaxDamage] == 48 && [PoisonLength] == 6 && [AttackRate] == 10 && [Durability] == 20 && [MaxDurability] == 26 && [PoisonCount] == 1, StashItem:false, ItemToID:false  (06:52:53)
Sold Item:Small Charm (ID:603) && [Quality] == Magic && [Flag] == identified && [Dexterity] == 1, StashItem:false, ItemToID:false  (06:52:53)
Sold Item:Jewel (ID:643) && [Type] == jewel && [Quality] == Magic && [Flag] == identified && [RequirementPercent] == -15, StashItem:false, ItemToID:false  (07:28:55)
Sold Item:Flail (ID:21) && [Type] == mace && [Quality] == Magic && [Flag] == identified && [MinDamage] == 1 && [MaxDamage] == 24 && [AttackRate] == 10 && [Durability] == 18 && [MaxDurability] == 30 && [MinDamage] == 1 && [MaxDamage] == 24 && [AttackRate] == 10 && [Durability] == 18 && [MaxDurability] == 30 && [HPRegen] == 4, StashItem:false, ItemToID:false  (07:33:50)
Sold Item:Battle Axe (ID:7) && [Type] == axe && [Quality] == Magic && [Flag] == identified && [SecondMinDamage] == 12 && [SecMaxDamage] == 32 && [AttackRate] == -10 && [Durability] == 54 && [MaxDurability] == 80 && [SecondMinDamage] == 18 && [SecMaxDamage] == 51 && [AttackRate] == -10 && [Durability] == 54 && [MaxDurability] == 80, StashItem:false, ItemToID:false  (07:33:50)
Sold Item:Wrist Blade (ID:176) && [Type] == assassinclaw && [Quality] == Magic && [Flag] == identified && [Flag] == ethereal && [MinDamage] == 7 && [MaxDamage] == 13 && [Durability] == 27 && [MaxDurability] == 27 && [MinDamage] == 7 && [MaxDamage] == 13 && [Durability] == 27 && [MaxDurability] == 27 && [PreventMonsterHeal] == 1, StashItem:false, ItemToID:false  (07:33:51)
Sold Item:Amulet (ID:520) && [Type] == amulet && [Quality] == Magic && [Flag] == identified && [MagicFind] == 8 && [AddSkillTab-ColdSkillTab] == 2, StashItem:false, ItemToID:false  (07:33:51)
Sold Item:Arrows (ID:526) && [Quality] == Normal && [Flag] == identified && [Quantity] == 178 && [Quantity] == 178, StashItem:false, ItemToID:false  (07:38:25)
Sold Item:Spider Bow (ID:264) && [Type] == bow && [Quality] == Magic && [Flag] == identified && [SecondMinDamage] == 23 && [SecMaxDamage] == 50 && [AttackRate] == -5 && [Durability] == 11 && [MaxDurability] == 20 && [SecondMinDamage] == 23 && [SecMaxDamage] == 51 && [AttackRate] == -5 && [Durability] == 11 && [MaxDurability] == 20, StashItem:false, ItemToID:false  (07:38:25)
Sold Item:Bastard Sword (ID:36) && [Type] == sword && [Quality] == Magic && [Flag] == identified && [MinDamage] == 7 && [MaxDamage] == 19 && [SecondMinDamage] == 20 && [SecMaxDamage] == 28 && [AttackRate] == -10 && [Durability] == 21 && [MaxDurability] == 40 && [MinDamage] == 18 && [MaxDamage] == 49 && [SecondMinDamage] == 51 && [SecMaxDamage] == 72 && [ManaLeech] == 9 && [AttackRate] == -10 && [Durability] == 21 && [MaxDurability] == 40, StashItem:false, ItemToID:false  (07:38:25)
Sold Item:Ring (ID:522) && [Type] == ring && [Quality] == Magic && [Flag] == identified && [AttackRating] == 115 && [MaxDamage] == 1 && [SecMaxDamage] == 1 && [ThrowMaxDamage] == 1, StashItem:false, ItemToID:false  (07:38:25)
